Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Denmark,Western Europe,1,7.526,1.442,1.164,0.795,0.579,0.445,0.362
Switzerland,Western Europe,2,7.509,1.527,1.145,0.863,0.586,0.412,0.281
Iceland,Western Europe,3,7.501,1.427,1.183,0.867,0.566,0.15,0.477
Norway,Western Europe,4,7.498,1.577,1.127,0.796,0.596,0.358,0.379
Finland,Western Europe,5,7.413,1.406,1.135,0.811,0.571,0.41,0.255
Canada,North America,6,7.404,1.44,1.096,0.828,0.574,0.313,0.448
Netherlands,Western Europe,7,7.339,1.465,1.029,0.812,0.552,0.299,0.474
New Zealand,Australia and New Zealand,8,7.334,1.361,1.173,0.831,0.581,0.419,0.494
Australia,Australia and New Zealand,9,7.313,1.444,1.105,0.851,0.568,0.323,0.474
Sweden,Western Europe,10,7.291,1.452,1.088,0.831,0.582,0.409,0.383
Israel,Middle East and Northern Africa,11,7.267,1.338,0.995,0.849,0.364,0.087,0.323
Austria,Western Europe,12,7.119,1.45,1.084,0.806,0.544,0.213,0.329
United States,North America,13,7.104,1.508,1.048,0.779,0.482,0.149,0.411
Costa Rica,Latin America and Caribbean,14,7.087,1.069,1.022,0.761,0.552,0.105,0.226
Puerto Rico,Latin America and Caribbean,15,7.039,1.359,1.081,0.778,0.468,0.123,0.222
Germany,Western Europe,16,6.994,1.448,1.098,0.815,0.535,0.286,0.305
Brazil,Latin America and Caribbean,17,6.952,1.088,1.039,0.614,0.404,0.142,0.158
Belgium,Western Europe,18,6.929,1.425,1.052,0.82,0.514,0.262,0.242
Ireland,Western Europe,19,6.907,1.483,1.162,0.815,0.54,0.298,0.45
Luxembourg,Western Europe,20,6.871,1.698,1.04,0.845,0.549,0.353,0.276
Mexico,Latin America and Caribbean,21,6.778,1.115,0.715,0.711,0.377,0.184,0.117
Singapore,Southeastern Asia,22,6.739,1.646,0.868,0.947,0.488,0.47,0.327
United Kingdom,Western Europe,23,6.725,1.403,1.087,0.81,0.5,0.274,0.502
Chile,Latin America and Caribbean,24,6.705,1.217,0.906,0.819,0.378,0.115,0.316
Panama,Latin America and Caribbean,25,6.701,1.183,0.989,0.708,0.489,0.084,0.242
Argentina,Latin America and Caribbean,26,6.65,1.151,1.066,0.697,0.423,0.073,0.11
Czech Republic,Central and Eastern Europe,27,6.596,1.309,1.008,0.764,0.414,0.04,0.099
United Arab Emirates,Middle East and Northern Africa,28,6.573,1.574,0.871,0.73,0.562,0.356,0.266
Uruguay,Latin America and Caribbean,29,6.545,1.182,1.031,0.722,0.544,0.214,0.181
Malta,Western Europe,30,6.488,1.308,1.099,0.803,0.55,0.176,0.562
Colombia,Latin America and Caribbean,31,6.481,1.03,1.022,0.597,0.447,0.054,0.156
France,Western Europe,32,6.478,1.395,1.005,0.838,0.466,0.178,0.122
Thailand,Southeastern Asia,33,6.474,1.089,1.045,0.649,0.496,0.028,0.587
Saudi Arabia,Middle East and Northern Africa,34,6.379,1.49,0.848,0.593,0.379,0.3,0.155
Taiwan,Eastern Asia,34,6.379,1.397,0.926,0.796,0.324,0.066,0.255
Qatar,Middle East and Northern Africa,36,6.375,1.824,0.88,0.717,0.567,0.48,0.324
Spain,Western Europe,37,6.361,1.343,1.129,0.879,0.375,0.061,0.177
Algeria,Middle East and Northern Africa,38,6.355,1.053,0.833,0.618,0.21,0.162,0.07
Guatemala,Latin America and Caribbean,39,6.324,0.835,0.871,0.54,0.504,0.087,0.288
Suriname,Latin America and Caribbean,40,6.269,1.097,0.779,0.509,0.522,0.127,0.167
Kuwait,Middle East and Northern Africa,41,6.239,1.617,0.878,0.636,0.432,0.237,0.16
