Country,Gov Trust Average,Generocity Average,Health Average,Family Average,Economy GDP Average,Freedom Average,Happiness Average
Afghanistan,0.05800000000000001,0.2678,0.25460000000000005,0.4098,0.35700000000000004,0.11779999999999999,3.5128
Albania,0.0432,0.1678,0.7876000000000001,0.7550000000000001,0.9385999999999999,0.3718,4.7126
Algeria,0.1462,0.069,0.6652000000000001,1.0742,1.0130000000000001,0.17839999999999998,5.6676
Argentina,0.0644,0.09240000000000001,0.7607999999999999,1.3308,1.111,0.48179999999999995,6.4594
Armenia,0.0388,0.0824,0.698,0.8907999999999999,0.8392,0.21580000000000005,4.393200000000001
Australia,0.3144,0.4162,0.9146000000000001,1.4090000000000003,1.3948,0.605,7.2762
Austria,0.2142,0.2924,0.8836,1.364,1.3981999999999999,0.5770000000000001,7.142
Azerbaijan,0.1758,0.049,0.6195999999999999,1.0316,1.0738,0.38039999999999996,5.2292000000000005
Bahrain,0.21080000000000002,0.2032,0.7252,1.2434,1.3904,0.5192,6.1138
Bangladesh,0.1326,0.17880000000000001,0.5933999999999999,0.6382,0.5242000000000001,0.4782,4.5802
Belarus,0.16360000000000002,0.11979999999999999,0.6988000000000001,1.3382,1.0852,0.3014,5.598000000000001
Belgium,0.23759999999999998,0.209,0.883,1.3573999999999997,1.3754,0.5389999999999999,6.9214
Benin,0.07139999999999999,0.1862,0.2752,0.34040000000000004,0.37679999999999997,0.4194,3.901
Bhutan,0.1654,0.4346,0.5398000000000001,1.2016,0.8234,0.4986,5.1248000000000005
Bolivia,0.06860000000000001,0.1852,0.5394,1.0951999999999997,0.7672,0.552,5.8132
Bosnia and Herzegovina,0.0016,0.271,0.7613999999999999,0.9843999999999999,0.9216000000000001,0.1766,5.1617999999999995
Botswana,0.1048,0.07899999999999999,0.3386,1.1076000000000001,1.0536,0.4906,3.8299999999999996
Brazil,0.12039999999999998,0.13499999999999998,0.6809999999999999,1.3232000000000002,1.0332000000000001,0.44279999999999997,6.6578
Bulgaria,0.007800000000000001,0.101,0.7358,1.2986,1.0864,0.2954,4.618599999999999
Burkina Faso,0.12279999999999999,0.21280000000000002,0.26680000000000004,0.9358000000000001,0.3146,0.324,4.0738
Burundi,0.10700000000000001,0.18580000000000002,0.2116,0.4708,0.0624,0.1014,3.0789999999999997
Cambodia,0.06960000000000001,0.3362,0.512,0.8762000000000001,0.5481999999999999,0.6378,4.205399999999999
Cameroon,0.049999999999999996,0.20780000000000004,0.20139999999999997,0.852,0.5192,0.437,4.6958
Canada,0.3058,0.38959999999999995,0.9007999999999999,1.3874,1.3880000000000001,0.611,7.3506
Chad,0.05900000000000001,0.19319999999999998,0.0948,0.8039999999999999,0.382,0.17759999999999998,4.0034
Chile,0.08859999999999998,0.2722,0.8450000000000001,1.2027999999999999,1.1734,0.3968,6.5894
China,0.05620000000000001,0.0496,0.7971999999999999,1.0338,1.0034,0.5096,5.218999999999999
Colombia,0.045000000000000005,0.1374,0.6718,1.3026,0.993,0.492,6.340000000000001
Congo (Brazzaville),0.093,0.11239999999999999,0.3468,0.7165999999999999,0.7228,0.42300000000000004,4.377400000000001
Congo (Kinshasa),0.060399999999999995,0.23159999999999997,0.2076,1.0596,0.0624,0.23979999999999996,4.3464
Costa Rica,0.101,0.1966,0.8322,1.3152,1.0357999999999998,0.5912,7.1262
Croatia,0.0336,0.145,0.769,0.9597999999999999,1.1524,0.286,5.4586
Cyprus,0.046,0.2496,0.9138,1.029,1.275,0.37720000000000004,5.7328
Czech Republic,0.034800000000000005,0.08080000000000001,0.8274000000000001,1.3248000000000002,1.2686000000000002,0.47379999999999994,6.654599999999999
Denmark,0.42960000000000004,0.31880000000000003,0.8654,1.4478000000000002,1.3965999999999998,0.6258,7.546000000000001
Dominican Republic,0.11739999999999999,0.16999999999999998,0.6426000000000001,1.2822,0.9997999999999999,0.5456,5.1994
