Country,Region,Happiness Rank 2015,Happiness Score 2015,Economy (GDP per Capita) 2015,Family 2015,Health (Life Expectancy) 2015,Freedom 2015,Trust (Government Corruption) 2015,Generosity 2015,Happiness Rank 2016,Happiness Score 2016,Economy (GDP per Capita) 2016,Family 2016,Health (Life Expectancy) 2016,Freedom 2016,Trust (Government Corruption) 2016,Generosity 2016,Happiness Rank 2017,Happiness Score 2017,Economy (GDP per Capita) 2017,Family 2017,Health (Life Expectancy) 2017,Freedom 2017,Trust (Government Corruption) 2017,Generosity 2017,Happiness Rank 2018,Happiness Score 2018,Economy (GDP per Capita) 2018,Family 2018,Health (Life Expectancy) 2018,Freedom 2018,Trust (Government Corruption) 2018,Generosity 2018,Happiness Rank 2019,Happiness Score 2019,Economy (GDP per Capita) 2019,Family 2019,Health (Life Expectancy) 2019,Freedom 2019,Trust (Government Corruption) 2019,Generosity 2019
Switzerland,Western Europe,1.0,7.587,1.397,1.35,0.941,0.666,0.42,0.297,2.0,7.509,1.527,1.145,0.863,0.586,0.412,0.281,4.0,7.494,1.565,1.517,0.858,0.62,0.367,0.291,5.0,7.487,1.42,1.549,0.927,0.66,0.357,0.256,6.0,7.48,1.452,1.526,1.052,0.572,0.343,0.263
Iceland,Western Europe,2.0,7.561,1.302,1.402,0.948,0.629,0.141,0.436,3.0,7.501,1.427,1.183,0.867,0.566,0.15,0.477,3.0,7.504,1.481,1.611,0.834,0.627,0.154,0.476,4.0,7.495,1.343,1.644,0.914,0.677,0.138,0.353,4.0,7.494,1.38,1.624,1.026,0.591,0.118,0.354
Denmark,Western Europe,3.0,7.527,1.325,1.361,0.875,0.649,0.484,0.341,1.0,7.526,1.442,1.164,0.795,0.579,0.445,0.362,2.0,7.522,1.482,1.551,0.793,0.626,0.401,0.355,3.0,7.555,1.351,1.59,0.868,0.683,0.408,0.284,2.0,7.6,1.383,1.573,0.996,0.592,0.41,0.252
Norway,Western Europe,4.0,7.522,1.459,1.331,0.885,0.67,0.365,0.347,4.0,7.498,1.577,1.127,0.796,0.596,0.358,0.379,1.0,7.537,1.616,1.534,0.797,0.635,0.316,0.362,2.0,7.594,1.456,1.582,0.861,0.686,0.34,0.286,3.0,7.554,1.488,1.582,1.028,0.603,0.341,0.271
Canada,North America,5.0,7.427,1.326,1.323,0.906,0.633,0.33,0.458,6.0,7.404,1.44,1.096,0.828,0.574,0.313,0.448,7.0,7.316,1.479,1.481,0.835,0.611,0.287,0.436,7.0,7.328,1.33,1.532,0.896,0.653,0.291,0.321,9.0,7.278,1.365,1.505,1.039,0.584,0.308,0.285
Finland,Western Europe,6.0,7.406,1.29,1.318,0.889,0.642,0.414,0.234,5.0,7.413,1.406,1.135,0.811,0.571,0.41,0.255,5.0,7.469,1.444,1.54,0.809,0.618,0.383,0.245,1.0,7.632,1.305,1.592,0.874,0.681,0.393,0.202,1.0,7.769,1.34,1.587,0.986,0.596,0.393,0.153
Netherlands,Western Europe,7.0,7.378,1.329,1.28,0.893,0.616,0.318,0.476,7.0,7.339,1.465,1.029,0.812,0.552,0.299,0.474,6.0,7.377,1.504,1.429,0.811,0.585,0.283,0.47,6.0,7.441,1.361,1.488,0.878,0.638,0.295,0.333,5.0,7.488,1.396,1.522,0.999,0.557,0.298,0.322
Sweden,Western Europe,8.0,7.364,1.332,1.289,0.911,0.66,0.438,0.363,10.0,7.291,1.452,1.088,0.831,0.582,0.409,0.383,9.0,7.284,1.494,1.478,0.831,0.613,0.384,0.385,9.0,7.314,1.355,1.501,0.913,0.659,0.383,0.285,7.0,7.343,1.387,1.487,1.009,0.574,0.373,0.267
New Zealand,Australia and New Zealand,9.0,7.286,1.25,1.32,0.908,0.639,0.429,0.475,8.0,7.334,1.361,1.173,0.831,0.581,0.419,0.494,8.0,7.314,1.406,1.548,0.817,0.614,0.383,0.5,8.0,7.324,1.268,1.601,0.876,0.669,0.389,0.365,8.0,7.307,1.303,1.557,1.026,0.585,0.38,0.33
Australia,Australia and New Zealand,10.0,7.284,1.334,1.309,0.932,0.651,0.356,0.436,9.0,7.313,1.444,1.105,0.851,0.568,0.323,0.474,10.0,7.284,1.484,1.51,0.844,0.602,0.301,0.478,10.0,7.272,1.34,1.573,0.91,0.647,0.302,0.361,11.0,7.228,1.372,1.548,1.036,0.557,0.29,0.332
Israel,Middle East and Northern Africa,11.0,7.278,1.229,1.224,0.914,0.413,0.078,0.332,11.0,7.267,1.338,0.995,0.849,0.364,0.087,0.323,11.0,7.213,1.375,1.376,0.838,0.406,0.085,0.33,19.0,6.814,1.301,1.559,0.883,0.533,0.272,0.354,13.0,7.139,1.276,1.455,1.029,0.371,0.082,0.261
Costa Rica,Latin America and Caribbean,12.0,7.226,0.956,1.238,0.86,0.634,0.106,0.255,14.0,7.087,1.069,1.022,0.761,0.552,0.105,0.226,12.0,7.079,1.11,1.416,0.76,0.58,0.1,0.215,13.0,7.072,1.01,1.459,0.817,0.632,0.101,0.143,12.0,7.167,1.034,1.441,0.963,0.558,0.093,0.144
